AUC(keth-seq)	base_num(keth-seq)	seq_id	AUC(icSHAPE)	base_num(icSHAPE)
0.9107142857142858	11	AC166248.20/29722-29823	0.4457644628099174	66
0.5888888888888889	14	AC110235.13/80163-80048	0.5018796992481204	80
0.6447192513368984	90	DQ285765.1/1-290	0.6335937500000001	254
0.6298209366391185	110	CAAA01147445.1/22509-22096	0.5389705882352941	353
0.6602564102564104	25	X04239.2/3-137	0.5515873015873016	72
0.5833333333333333	8	AC132367.3/116009-115932	0.5098039215686275	23
0.6666666666666666	10	AAHY01033490.1/12295-12382	0.4896296296296296	52
0.7407407407407406	21	AC102547.8/25951-25815	0.5715898825654923	95
0.6286324786324785	69	AAHY01756065.1/299-617	0.4949559794570799	275
0.2666666666666667	8	U40654.1/2012-2080	0.7407407407407408	33
0.6071428571428572	17	CAAA01084202.1/39331-39498	0.6657681940700808	120
0.30000000000000004	25	AAHY01048392.1/24763-24623	0.5807272727272726	105
0.7916666666666667	13	AC154727.2/125080-125001	0.49375	44
0.75	8	AB042809.1/5159-5089	0.7171052631578948	35
0.5032467532467533	25	BC075731.1/796-925	0.5507246376811594	94
0.7142857142857142	13	CAAA01202596.1/1204-1315	0.4457070707070707	76
0.7346153846153847	46	M23705.1/702-916	0.5052910052910052	179
0.5	28	AB011595.1/3767-3910	0.5154711673699015	97
0.9411764705882352	18	AC121317.7/68985-69092	0.4074626865671641	72
0.4423076923076923	71	AC119847.12/95090-94748	0.4461725550435228	307
0.8333333333333333	7	AF295529.1/6463-6530	0.2833333333333333	32
0.3801587301587301	59	AAHY01035212.1/17904-18281	0.556175047338523	342
0.6944444444444444	49	AJ006836.1/1091-1295	0.6004489337822672	169
0.7952380952380953	31	AAHY01168842.1/1247-1097	0.6988795518207283	38
1.0	4	AF357365.1/1-59	0.5333333333333333	23
0.6506591337099813	95	AF191547.1/2290-1993	0.4976598527083764	254
0.6	7	AF274027.1/835-900	0.839366515837104	30
0.6366013071895424	81	M63671.1/163-493	0.5069412521835065	295
0.5	7	V00711.1/3842-3772	0.7170329670329669	27
0.7588932806324109	34	CAAA01181619.1/3682-3492	0.3767066267066267	155
0.75	15	AAHY01107679.1/13131-13051	0.4711981566820277	45
