tx	null_pct_cutoff	vivo	vitro	null_pct1	null_pct2	condition	T_t_cutoff
ENSMUST00000082390	0.2	0.840737906681	0.81005542719	0.0227560050569	0.189001264223	total	T1t200
ENSMUST00000082388	0.2	0.8490209818359999	0.8143648368590001	0.0376963350785	0.183246073298	total	T1t200
ENSMUST00000082390	0.4	0.840737906681	0.81005542719	0.0227560050569	0.189001264223	total	T1t200
ENSMUST00000192833	0.4	0.7809563181110001	0.761400893512	0.374586963052	0.0507659957945	total	T1t200
ENSMUST00000083011	0.4	0.8859769327399999	0.782111220472	0.35294117647100004	0.35294117647100004	total	T1t200
ENSMUST00000082388	0.4	0.8490209818359999	0.8143648368590001	0.0376963350785	0.183246073298	total	T1t200
ENSMUST00000082399	0.6	0.837597044049	0.7585706219249999	0.507042253521	0.507042253521	total	T1t200
ENSMUST00000082390	0.6	0.840737906681	0.81005542719	0.0227560050569	0.189001264223	total	T1t200
ENSMUST00000082395	0.6	0.695147764113	0.7058194266150001	0.521739130435	0.521739130435	total	T1t200
ENSMUST00000192833	0.6	0.7809563181110001	0.761400893512	0.374586963052	0.0507659957945	total	T1t200
ENSMUST00000199549	0.6	0.796514444806	0.760423332338	0.583333333333	0.592592592593	total	T1t200
ENSMUST00000083285	0.6	0.7149971240880001	0.841212988452	0.469879518072	0.433734939759	total	T1t200
ENSMUST00000082965	0.6	0.810006702691	0.822740559437	0.266666666667	0.577777777778	total	T1t200
ENSMUST00000083800	0.6	0.77969244462	0.713914767096	0.555555555556	0.583333333333	total	T1t200
ENSMUST00000082394	0.6	0.8159633027519999	0.6754382849770001	0.507042253521	0.591549295775	total	T1t200
ENSMUST00000083804	0.6	0.881963423754	0.794915470494	0.444444444444	0.530864197531	total	T1t200
ENSMUST00000083011	0.6	0.8859769327399999	0.782111220472	0.35294117647100004	0.35294117647100004	total	T1t200
ENSMUST00000082388	0.6	0.8490209818359999	0.8143648368590001	0.0376963350785	0.183246073298	total	T1t200
ENSMUST00000082389	0.6	0.770685976378	0.755742096803	0.521739130435	0.521739130435	total	T1t200
ENSMUST00000083833	0.8	0.8190275720290001	0.753652148389	0.18848167539299998	0.780104712042	total	T1t200
ENSMUST00000082922	0.8	0.8370532125319999	0.830531426495	0.18848167539299998	0.7329842931939999	total	T1t200
ENSMUST00000184171	0.8	0.78176688184	0.7931717337720001	0.511627906977	0.767441860465	total	T1t200
ENSMUST00000196554	0.8	0.809707154237	0.858200388877	0.685393258427	0.696629213483	total	T1t200
ENSMUST00000183812	0.8	0.788697081198	0.725054038626	0.458333333333	0.763888888889	total	T1t200
ENSMUST00000082399	0.8	0.837597044049	0.7585706219249999	0.507042253521	0.507042253521	total	T1t200
ENSMUST00000157627	0.8	0.935091673741	0.8579218457619999	0.43269230769199996	0.605769230769	total	T1t200
ENSMUST00000082390	0.8	0.840737906681	0.81005542719	0.0227560050569	0.189001264223	total	T1t200
ENSMUST00000082395	0.8	0.695147764113	0.7058194266150001	0.521739130435	0.521739130435	total	T1t200
ENSMUST00000192833	0.8	0.7809563181110001	0.761400893512	0.374586963052	0.0507659957945	total	T1t200
ENSMUST00000196353	0.8	0.786325843469	0.724503919887	0.5	0.763888888889	total	T1t200
ENSMUST00000083886	0.8	0.832670864542	0.7627209097069999	0.18848167539299998	0.7748691099480001	total	T1t200
ENSMUST00000199549	0.8	0.796514444806	0.760423332338	0.583333333333	0.592592592593	total	T1t200
ENSMUST00000182520	0.8	0.7695934689899999	0.753207054508	0.716915995397	0.08745684695049999	total	T1t200
ENSMUST00000175032	0.8	0.636726867997	0.7803600074089999	0.67	0.256666666667	total	T1t200
ENSMUST00000083285	0.8	0.7149971240880001	0.841212988452	0.469879518072	0.433734939759	total	T1t200
ENSMUST00000198628	0.8	0.7953266595659999	0.7383175604629999	0.46976744186	0.767441860465	total	T1t200
ENSMUST00000083103	0.8	0.8187142758079999	0.746368198314	0.746223564955	0.700906344411	total	T1t200
ENSMUST00000082391	0.8	0.8338267949670001	0.781088016423	0.533333333333	0.76	total	T1t200
ENSMUST00000104327	0.8	0.848796656962	0.5702725412830001	0.387096774194	0.741935483871	total	T1t200
ENSMUST00000083298	0.8	0.860898157137	0.622244234481	0.23036649214699997	0.7329842931939999	total	T1t200
